País,ISO,Región,Entrada_2000,Salida_2000,Entrada_2001,Salida_2001,Entrada_2002,Salida_2002,Entrada_2003,Salida_2003,Entrada_2004,Salida_2004,Entrada_2005,Salida_2005,Entrada_2006,Salida_2006,Entrada_2007,Salida_2007,Entrada_2008,Salida_2008,Entrada_2009,Salida_2009,Entrada_2010,Salida_2010,Entrada_2011,Salida_2011,Entrada_2012,Salida_2012,Entrada_2013,Salida_2013,Entrada_2014,Salida_2014,Entrada_2015,Salida_2015,Entrada_2016,Salida_2016,Entrada_2017,Salida_2017,Entrada_2018,Salida_2018,Entrada_2019,Salida_2019,Entrada_2020,Salida_2020,Entrada_2021,Salida_2021,Entrada_2022,Salida_2022,Prom_Entrada_2000_2022,Prom_Salida_2000_2022,Clasificación
Netherlands,NLD,Europa Occidental,63109.73,74513.3,51998.92,50779.9,25485.04,31791.84,20456.44,44672.55,139920.69,151496.91,209888.83,266586.39,375506.01,523660.12,733826.5,596418.05,195530.11,272589.49,203201.5,304870.13,55216.22,169110.48,356497.88,385325.8,261353.75,321836.37,324371.07,402249.47,144140.81,172589.14,376007.77,407600.42,277348.12,388143.59,201143.11,212624.27,-285034.72,-268964.83,-127784.85,-121741.29,-220886.48,-242100.99,-115702.95,68651.56,15457.6,173973.29,142654.4,190725.04,Exportador neto
Nicaragua,NIC,América Central/Caribe,266.5,,150.2,,203.9,,201.3,,250.0,,241.1,,286.8,21.0,381.7,15.3,627.3,18.9,433.9,-29.1,489.9,15.1,936.3,7.7,775.7,63.4,965.1,150.1,1076.8,94.0,967.0,45.0,989.1,65.3,1035.4,64.5,837.6,75.1,503.0,59.1,746.5,39.5,1047.2,14.52,1287.1,19.35,639.1,43.46,Importador neto
Nigeria,NGA,África Subsahariana,1140.17,168.94,1190.62,93.88,1874.07,172.16,2005.35,167.32,1874.06,-260.76,4982.53,14.64,4854.35,319.62,6036.02,867.68,8194.07,1051.27,8555.99,1525.34,6026.25,911.72,8841.06,816.76,7069.91,1530.12,5562.86,1227.43,4693.83,1614.29,3064.17,1435.2,3453.26,335.46,2412.97,310.83,775.25,565.57,2305.1,285.32,2385.28,1473.33,3313.21,1817.91,-186.79,-67.06,3931.46,712.04,Importador neto
North Macedonia,MKD,Europa Occidental,217.51,1.85,469.57,23.31,114.19,8.72,119.04,1.58,309.14,-12.73,145.33,51.1,427.44,3.48,733.47,33.32,611.69,11.19,259.53,74.0,301.44,94.58,507.92,34.01,337.91,172.41,402.46,97.48,60.88,-200.51,296.6,66.29,549.37,200.01,380.74,182.2,648.73,-64.53,549.5,145.53,7.69,-165.22,696.26,243.03,854.15,170.33,391.33,50.93,Importador neto
Norway,NOR,Europa Occidental,8332.06,10802.97,3190.22,1930.43,3011.75,7739.95,4179.38,6681.89,4918.49,7624.82,10058.76,31735.03,11877.92,18521.6,24806.09,22925.01,20578.22,36326.09,8635.76,9968.1,21634.27,29942.04,10296.32,12996.19,27897.97,27362.52,-1368.61,12572.77,3242.24,22292.83,7274.09,21424.96,-18668.57,6261.33,5900.6,698.7,-5664.32,13831.62,16329.82,7665.5,-3281.32,-8309.04,18355.01,31107.19,14278.13,27820.28,8513.66,15648.82,Exportador neto
Oman,OMN,Medio Oriente/Norte África,82.0,,5.2,,109.23,2.6,24.97,88.43,111.05,41.61,1538.36,233.55,1596.1,274.64,3332.12,-37.19,2951.89,584.4,1509.23,73.34,1242.65,1498.31,1629.14,1222.89,1364.63,885.05,1612.43,933.68,1286.35,1356.31,-2172.43,334.98,2266.07,356.59,2878.54,2423.67,5600.78,130.82,1998.18,-585.7,1909.49,-837.19,8745.64,1180.75,6871.78,-304.81,2021.45,469.37,Importador neto
Pakistan,PAK,Asia Sur-Este/Pacífico,308.0,11.0,378.0,26.0,826.0,31.0,534.0,19.0,1118.0,56.0,2201.0,45.0,4273.0,109.0,5590.0,98.0,5438.0,49.0,2338.0,71.0,2022.0,47.0,1326.0,62.0,859.0,77.0,1333.0,212.0,1887.0,122.0,1673.0,25.0,2576.0,52.0,2496.0,52.0,1737.0,-21.0,2234.0,-85.0,2057.0,-45.0,2147.0,242.0,1462.0,1157.0,2035.35,104.87,Importador neto
Panama,PAN,América Central/Caribe,827.8,203.9,606.8,139.7,247.1,148.5,1050.6,233.1,1277.9,258.8,1104.4,186.8,2944.3,397.0,2224.0,325.4,2390.0,243.3,1085.5,-173.8,2549.1,142.6,4395.6,1418.6,3381.9,-103.0,3799.0,562.7,4984.4,854.8,5119.3,1147.2,5248.35,691.13,4082.06,-338.16,4304.25,441.16,4684.62,735.05,-1631.8,-3040.46,1833.06,-164.9,2466.52,187.5,2564.12,195.52,Importador neto
Papua New Guinea,PNG,Asia Sur-Este/Pacífico,,0.56,,0.64,,1.0,,49.48,,2.32,,8.22,,117.7,,37.91,,78.03,,6.5,,7.06,,314.22,,92.81,,9.02,,59.23,,-8.63,,292.3,,368.66,,575.48,,1215.22,,996.76,,1611.45,,2456.54,,360.54,Exportador neto
Paraguay,PRY,América del Sur,107.8,9.9,99.2,29.5,90.4,84.5,-57.7,-82.6,93.98,66.3,7.3,-28.2,187.8,73.6,105.0,-97.3,451.7,45.88,192.41,66.72,752.87,262.2,661.2,99.22,868.97,-219.32,435.97,750.41,1014.91,954.29,805.16,513.21,819.35,586.26,759.2,467.26,316.76,-338.16,485.53,293.9,289.38,112.4,584.06,423.06,855.19,346.9,431.58,192.17,Importador neto
